title,channel_id,view_cnt,like_cnt,dislike_cnt,subscribe_cnt
[avex官方HD] 孫尤安 yoanna sun -《Drink-Drink-Drink》feat. 國蛋 GorDoN 完整版MV,UCH1AHDav6J-2XYkl243Uj3Q,39999,686,56,234000
Suby Cheng鄭舒尹 - Take Me There（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,15074,111,7,1580000
張震嶽 ayal komod【貪心 Greed】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,409299,6381,121,2510000
TIA袁娅维《呃》官方MV(Official Music Video),UCFUhDDZ0O_Ee615gI4dA_oQ,15926,251,4,14800
李杰明 W.M.L -【去你的快樂】F Your Happiness | Official MV,UCHJ2m6e8Lkw_m2VhRT119UQ,127234,3402,36,150000
盧一辰 Luyi [ 我想我很想很想你 Miss You So Much ] Official Music video(電影《帥T空姐》主題曲),UCCsUQXwhDj4iVlhG4VCq6Kg,108701,1071,25,1450000
白安ANN [ 吾愛無愛 Loveless ] Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,665275,4200,71,2260000
CoCo  Lee 李玟 Fancy (Official HD MV),UCbsOWv8B8hVH8JxgJjmqc_A,218656,4482,179,27900
孫盛希 Shi Shi【Let Me Fall】電影『聖人大盜 』片尾曲 Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,226363,4306,37,2510000
許莉潔 ZJ Hsu 療傷共鳴情歌【痊癒Healing 】 Official Music Video,UCnCaZrcYtQ_nYuW7_4eQdDA,453519,2691,21,66800
陳珊妮 Sandee Chan - 玉女穿梭 Fair Lady Works Shuttle ft. 鍾玉鳳Chung YuFeng (Official Music Video),UC945VeRnnvcRLWkAMyW_iwA,38989,1308,10,19500
曾沛慈 Pets Tseng《我在你家樓下等你 Waiting For》Official Music Video,UC8CEtxKYs-TjTTxl1--7Xmw,235892,2445,17,0
印子月 & Young-G《拜託拜託》【竹馬鋼琴師 Childhood Sweethearts Pianist OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,13389,141,5,113000
八三夭831【不搖滾】feat. 房東的貓 Official Music Video,UCaPW6qDNWLlhDdSmfW7MTPw,1153425,11737,115,72800
MAYDAY五月天 [ 倔強 Persistence ] feat.周杰倫 Official Live Video,UC7ovu6a8ydIbDy0fAKmoZ9A,1991845,20646,382,2260000
[avex官方HD] 盧子杰 James Lu – 14 (Feat. 屁孩Ryan & 柯政宏) 官方歌詞版MV,UCH1AHDav6J-2XYkl243Uj3Q,1031435,17120,150,234000
黃明志Namewee【哥抽菸 Ain’t A Cigarette】@亞洲通話 Calling Asia,UCFUtqTcgJgRnmZ3tMU6P74Q,2803238,37237,1644,2180000
大支/Dwagie【霸凌王/Tryna Bully】,UCOg5bW6zcbvji5K4BRvQCUw,133548,8297,212,141000
张靓颖-星途 MV|Jane Zhang-Exeed(Official Music Video),UCqCKCd2zu1Kwi9SdPnsOBbQ,91844,1944,44,90200
张靓颖-一心一爱 MV|Jane Zhang-One Heart One Love(Official Music Video),UCqCKCd2zu1Kwi9SdPnsOBbQ,24699,669,4,90200
好樂團 GoodBand ─ 反正存不了錢，那就再買一件（feat. 蔡哥 & 曹小歐） Official Music Video,UCyhTOPmMeUL4inFgjaA4QxA,133849,7229,67,70400
田亞霍Elvis  Feat. 小賴 賴晏駒【是誰忍心刀了我 Who bears to knife me?】Official Music Video,UCNdi__cyJxXiuVDP1KAfSmg,373171,9150,223,116000
妮可醬 NekoJam【有鬼 feat. 黃鴻升This Way feat. Alien Huang】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,29337,428,28,2510000
方泂鑌（A-Bin）&秦宇子【五月雪】HD 官方完整版 MV,UCAWnuGH5fKJKM-DiWrdbgJA,34826,338,10,354000
楊乃文 Naiwen Yang 【悔過書 Repentance】Official Music Video,UCvgowwd4EPdfzDqmXQX0vKA,348552,1744,24,0
張立昂Marcus C - 我們之間 Between Us 2.0 ( DJ Ken Lin Remix ) Official Audio,UCVe_k-wY7f8nxaGgnium--w,28828,737,1,40800
怕胖團PAPUN BAND《 2049 》Music Video,UC7YH4dd3duJziqGEN2_SxAw,120883,754,16,30100
李佳歡Kar Fun -《過期了Expired 》(Official Music Video),UCBVRZrlm8LJrK2QRBFsmnMA,313670,1960,29,1400
魏嘉瑩 Arrow Wei【我還是不懂】Official Music Video（HIStory3 那一天 片尾曲）,UCl__rQRN5o5OrozeUNOOIDA,1112083,4194,40,41300
鄧倫、阿蘭 - 等愛（官方歌詞版）- 電視劇《海棠經雨胭脂透》片尾曲,UCEsinqZjZ11w0T9ZvyKIr6A,82735,807,18,1580000
陳昇 Bobby Chen【七天 Seven Days】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,79775,1416,45,2510000
蔡旻佑 Evan Yo《誰不想太多 Jealousy Syndrome》Official Music Video,UCQUsot01jVvJCPkdr7kymOA,99350,1874,19,5190
張孟權JMC -《跟屁蟲Lovely Guy》(Official Lyric MV),UCBVRZrlm8LJrK2QRBFsmnMA,5823,176,3,1400
黃奕儒Ezu [ 鬥陣 ] 2019年WBSC世界12強棒球錦標賽中華隊應援曲,UC7ovu6a8ydIbDy0fAKmoZ9A,252340,1708,19,2260000
眼鏡仔,UCleo-V4Ewm-t8u_cOOqlt6g,88555,1417,67,2140
周筆暢Bibi Zhou 《女流》官方版MV  月亮的潮汐引發的瘋狂 | 《LUNAR》,UCuQ1Xg05DTXtvSAHY891WFg,56945,383,52,1990
9m88 - 如果可以 If I Could (Official MV),UCo95y8CD2JpOR5eePxB1a7w,232340,5374,91,67200
Sam Lin -《若你幸福》Official Music Video (首播抒情主打),UCo8MDVxK7vZywaz93EoVk3w,94776,2553,24,146000
馬思純 Sandra Ma [ 安然 ] Official Music video(電影『大約在冬季』宣傳曲),UCCsUQXwhDj4iVlhG4VCq6Kg,17058,233,7,1450000
